MPG,Cylinders,HorsePower,Weight,Acceleration,ModelYear,Brand,Name
18,8,130,3504,12,70,chevrolet,chevrolet chevelle malibu
15,8,165,3693,11.5,70,buick,buick skylark 320
18,8,150,3436,11,70,plymouth,plymouth satellite
16,8,150,3433,12,70,amc,amc rebel sst
17,8,140,3449,10.5,70,ford,ford torino
15,8,198,4341,10,70,ford,ford galaxie 500
14,8,220,4354,9,70,chevrolet,chevrolet impala
14,8,215,4312,8.5,70,plymouth,plymouth fury iii
14,8,225,4425,10,70,pontiac,pontiac catalina
15,8,190,3850,8.5,70,amc,amc ambassador dpl
15,8,170,3563,10,70,dodge,dodge challenger se
14,8,160,3609,8,70,plymouth,plymouth 'cuda 340
15,8,150,3761,9.5,70,chevrolet,chevrolet monte carlo
14,8,225,3086,10,70,buick,buick estate wagon (sw)
24,4,95,2372,15,70,toyota,toyota corona mark ii
22,6,95,2833,15.5,70,plymouth,plymouth duster
18,6,97,2774,15.5,70,amc,amc hornet
21,6,85,2587,16,70,ford,ford maverick
27,4,88,2130,14.5,70,datsun,datsun pl510
26,4,46,1835,20.5,70,volkswagen,volkswagen 1131 deluxe sedan
25,4,87,2672,17.5,70,peugeot,peugeot 504
24,4,90,2430,14.5,70,audi,audi 100 ls
25,4,95,2375,17.5,70,saab,saab 99e
26,4,113,2234,12.5,70,bmw,bmw 2002
21,6,90,2648,15,70,amc,amc gremlin
10,8,215,4615,14,70,ford,ford f250
10,8,200,4376,15,70,chevy,chevy c20
11,8,210,4382,13.5,70,dodge,dodge d200
9,8,193,4732,18.5,70,hi,hi 1200d
27,4,88,2130,14.5,71,datsun,datsun pl510
28,4,90,2264,15.5,71,chevrolet,chevrolet vega 2300
25,4,95,2228,14,71,toyota,toyota corona
25,4,?,2046,19,71,ford,ford pinto
19,6,100,2634,13,71,amc,amc gremlin
16,6,105,3439,15.5,71,plymouth,plymouth satellite custom
17,6,100,3329,15.5,71,chevrolet,chevrolet chevelle malibu
19,6,88,3302,15.5,71,ford,ford torino 500
18,6,100,3288,15.5,71,amc,amc matador
14,8,165,4209,12,71,chevrolet,chevrolet impala
14,8,175,4464,11.5,71,pontiac,pontiac catalina brougham
14,8,153,4154,13.5,71,ford,ford galaxie 500
14,8,150,4096,13,71,plymouth,plymouth fury iii
12,8,180,4955,11.5,71,dodge,dodge monaco (sw)
13,8,170,4746,12,71,ford,ford country squire (sw)
13,8,175,5140,12,71,pontiac,pontiac safari (sw)
18,6,110,2962,13.5,71,amc,amc hornet sportabout (sw)
22,4,72,2408,19,71,chevrolet,chevrolet vega (sw)
19,6,100,3282,15,71,pontiac,pontiac firebird
18,6,88,3139,14.5,71,ford,ford mustang
23,4,86,2220,14,71,mercury,mercury capri 2000
28,4,90,2123,14,71,opel,opel 1900
30,4,70,2074,19.5,71,peugeot,peugeot 304
30,4,76,2065,14.5,71,fiat,fiat 124b
31,4,65,1773,19,71,toyota,toyota corolla 1200
35,4,69,1613,18,71,datsun,datsun 1200
27,4,60,1834,19,71,volkswagen,volkswagen model 111
26,4,70,1955,20.5,71,plymouth,plymouth cricket
24,4,95,2278,15.5,72,toyota,toyota corona hardtop
25,4,80,2126,17,72,dodge,dodge colt hardtop
23,4,54,2254,23.5,72,volkswagen,volkswagen type 3
20,4,90,2408,19.5,72,chevrolet,chevrolet vega
21,4,86,2226,16.5,72,ford,ford pinto runabout
13,8,165,4274,12,72,chevrolet,chevrolet impala
14,8,175,4385,12,72,pontiac,pontiac catalina
15,8,150,4135,13.5,72,plymouth,plymouth fury iii
14,8,153,4129,13,72,ford,ford galaxie 500
17,8,150,3672,11.5,72,amc,amc ambassador sst
11,8,208,4633,11,72,mercury,mercury marquis
13,8,155,4502,13.5,72,buick,buick lesabre custom
12,8,160,4456,13.5,72,oldsmobile,oldsmobile delta 88 royale
13,8,190,4422,12.5,72,chrysler,chrysler newport royal
19,3,97,2330,13.5,72,mazda,mazda rx2 coupe
15,8,150,3892,12.5,72,amc,amc matador (sw)
13,8,130,4098,14,72,chevrolet,chevrolet chevelle concours (sw)
13,8,140,4294,16,72,ford,ford gran torino (sw)
14,8,150,4077,14,72,plymouth,plymouth satellite custom (sw)
18,4,112,2933,14.5,72,volvo,volvo 145e (sw)
22,4,76,2511,18,72,volkswagen,volkswagen 411 (sw)
21,4,87,2979,19.5,72,peugeot,peugeot 504 (sw)
26,4,69,2189,18,72,renault,renault 12 (sw)
22,4,86,2395,16,72,ford,ford pinto (sw)
28,4,92,2288,17,72,datsun,datsun 510 (sw)
23,4,97,2506,14.5,72,toyouta,toyouta corona mark ii (sw)
28,4,80,2164,15,72,dodge,dodge colt (sw)
27,4,88,2100,16.5,72,toyota,toyota corolla 1600 (sw)
13,8,175,4100,13,73,buick,buick century 350
14,8,150,3672,11.5,73,amc,amc matador
13,8,145,3988,13,73,chevrolet,chevrolet malibu
14,8,137,4042,14.5,73,ford,ford gran torino
15,8,150,3777,12.5,73,dodge,dodge coronet custom
12,8,198,4952,11.5,73,mercury,mercury marquis brougham
13,8,150,4464,12,73,chevrolet,chevrolet caprice classic
13,8,158,4363,13,73,ford,ford ltd
14,8,150,4237,14.5,73,plymouth,plymouth fury gran sedan
13,8,215,4735,11,73,chrysler,chrysler new yorker brougham
12,8,225,4951,11,73,buick,buick electra 225 custom
13,8,175,3821,11,73,amc,amc ambassador brougham
18,6,105,3121,16.5,73,plymouth,plymouth valiant
16,6,100,3278,18,73,chevrolet,chevrolet nova custom
18,6,100,2945,16,73,amc,amc hornet
18,6,88,3021,16.5,73,ford,ford maverick
23,6,95,2904,16,73,plymouth,plymouth duster
26,4,46,1950,21,73,volkswagen,volkswagen super beetle
11,8,150,4997,14,73,chevrolet,chevrolet impala
12,8,167,4906,12.5,73,ford,ford country
13,8,170,4654,13,73,plymouth,plymouth custom suburb
12,8,180,4499,12.5,73,oldsmobile,oldsmobile vista cruiser
18,6,100,2789,15,73,amc,amc gremlin
20,4,88,2279,19,73,toyota,toyota carina
21,4,72,2401,19.5,73,chevrolet,chevrolet vega
22,4,94,2379,16.5,73,datsun,datsun 610
18,3,90,2124,13.5,73,maxda,maxda rx3
19,4,85,2310,18.5,73,ford,ford pinto
21,6,107,2472,14,73,mercury,mercury capri v6
26,4,90,2265,15.5,73,fiat,fiat 124 sport coupe
15,8,145,4082,13,73,chevrolet,chevrolet monte carlo s
16,8,230,4278,9.5,73,pontiac,pontiac grand prix
29,4,49,1867,19.5,73,fiat,fiat 128
24,4,75,2158,15.5,73,opel,opel manta
20,4,91,2582,14,73,audi,audi 100ls
19,4,112,2868,15.5,73,volvo,volvo 144ea
15,8,150,3399,11,73,dodge,dodge dart custom
24,4,110,2660,14,73,saab,saab 99le
20,6,122,2807,13.5,73,toyota,toyota mark ii
11,8,180,3664,11,73,oldsmobile,oldsmobile omega
20,6,95,3102,16.5,74,plymouth,plymouth duster
21,6,?,2875,17,74,ford,ford maverick
19,6,100,2901,16,74,amc,amc hornet
15,6,100,3336,17,74,chevrolet,chevrolet nova
31,4,67,1950,19,74,datsun,datsun b210
26,4,80,2451,16.5,74,ford,ford pinto
32,4,65,1836,21,74,toyota,toyota corolla 1200
25,4,75,2542,17,74,chevrolet,chevrolet vega
16,6,100,3781,17,74,chevrolet,chevrolet chevelle malibu classic
16,6,110,3632,18,74,amc,amc matador
18,6,105,3613,16.5,74,plymouth,plymouth satellite sebring
16,8,140,4141,14,74,ford,ford gran torino
13,8,150,4699,14.5,74,buick,buick century luxus (sw)
14,8,150,4457,13.5,74,dodge,dodge coronet custom (sw)
14,8,140,4638,16,74,ford,ford gran torino (sw)
14,8,150,4257,15.5,74,amc,amc matador (sw)
29,4,83,2219,16.5,74,audi,audi fox
26,4,67,1963,15.5,74,volkswagen,volkswagen dasher
26,4,78,2300,14.5,74,opel,opel manta
31,4,52,1649,16.5,74,toyota,toyota corona
32,4,61,2003,19,74,datsun,datsun 710
28,4,75,2125,14.5,74,dodge,dodge colt
24,4,75,2108,15.5,74,fiat,fiat 128
26,4,75,2246,14,74,fiat,fiat 124 tc
24,4,97,2489,15,74,honda,honda civic
26,4,93,2391,15.5,74,#VALUE!,subaru
31,4,67,2000,16,74,fiat,fiat x1.9
19,6,95,3264,16,75,plymouth,plymouth valiant custom
18,6,105,3459,16,75,chevrolet,chevrolet nova
15,6,72,3432,21,75,mercury,mercury monarch
